#Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass
Unclassifiable	Unknown	Unknown	1139.78207998104
1828	species	RHODOCOCCUS FASCIANS	0.856733515452
181054	species	ERYNIOPSIS CAROLINIANA	0.844962657048
261843	species	PROTOPERIDINIUM CONICUM	0.842656172717
79883	species	BACILLUS HORIKOSHII	0.841219502388
68788	species	SCLERODERMA CITRINUM	0.840573151258
7244	species	DROSOPHILA VIRILIS	0.835024566218
509564	species	BACTERIOVORAX SP. O5 2B	0.834660385473
77046	species	XYLARIA POLYMORPHA	0.831646648895
497999	species	RHIZAMOEBA SP. ATCC 50933	0.824131042384
2110	species	MYCOPLASMA AGALACTIAE	0.822770585104
264641	species	DESULFITIBACTER ALKALITOLERANS	0.821318827264
91750	species	UNCULTURED ALPHA PROTEOBACTERIUM	0.8118744631525
31281	species	ENTEROCYTOZOON BIENEUSI	0.8117883222049
148817	species	ORTHOSOMELLA OPEROPHTERAE	0.8117757067285
194923	species	UNCULTURED VEILLONELLACEAE BACTERIUM	0.807167543248
1283	species	STAPHYLOCOCCUS HAEMOLYTICUS	0.8058543107271
563843	family	RHODOTHERMACEAE	0.805410835654
1100069	order	BACTEROIDETES ORDER II. INCERTAE SEDIS	0.805410835654
35558	subspecies	PELODERA STRONGYLOIDES DERMATITICA	0.802336431155
672924	species	LECUDINA LONGISSIMA	0.792307119945
404771	species	UNCULTURED PEZIZACEAE	0.7914866179939
6737	species	PANULIRUS ARGUS	0.788551464686
361072	species	DICTYOSTELIUM CITRINUM	0.78433126483
350073	species	ASAJIRELLA GELATINOSA	0.782795764016
674937	species	CONVOLUTA LACRIMOSA	0.782027597125
103983	species	PARVILUCIFERA INFECTANS	0.7811365633209
182709	genus	OCEANOBACILLUS	0.775460193898
385038	species	UNCULTURED DIPLONEMID	0.775458065443
307612	species	PHERUSA PLUMOSA	0.77290549444
184914	species	CORALLOCOCCUS CORALLOIDES	0.771867246681
474182	species	EBURNEOPUS ECLECTICUS	0.769547789773
1047007	species	OMNITROPHICA BACTERIUM SCGC AAA257 O07	0.769065342028
167964	species	ANAEROLINEA THERMOPHILA	0.76640577721
5802	species	EIMERIA TENELLA	0.766014145500597
5799	family	EIMERIIDAE	0.766014145500597
5800	genus	EIMERIA	0.766014145500597
435838	no rank	STAPHYLOCOCCUS CAPRAE C87	0.764393032091
1003108	species	SCOLIOPLEURA PEISONIS	0.762491542452
33084	no rank	ENTAMOEBIDAE	0.760247153616333
555406	no rank	ARCHAMOEBAE	0.760247153616333
5758	genus	ENTAMOEBA	0.760247153616333
167965	species	UNCULTURED TERMITE GROUP 1 BACTERIUM	0.758263233656
370996	species	STAPHYLOCOCCUS SP. B5	0.7577864807985
61127	species	ANGUILLA DIEFFENBACHII	0.755551274932
170411	species	HALIMEDA CYLINDRACEA	0.7469221359697
460511	species	UNCULTURED SPIROCHAETES BACTERIUM	0.7468532607001
444158	no rank	METHANOCOCCUS MARIPALUDIS C6	0.744815337297
426368	no rank	METHANOCOCCUS MARIPALUDIS C7	0.744815337297
317566	species	GORGORHYNCHOIDES BULLOCKI	0.743680865476
715245	species	BICOSOECIDA GEN. 1 SP. EK 2010A	0.734566699824
402880	no rank	METHANOCOCCUS MARIPALUDIS C5	0.730639243
170407	species	HALIMEDA BORNEENSIS	0.7272776276905
84276	species	CENTRORHYNCHUS MICROCEPHALUS	0.7267978659649
84069	species	APHANASTOMA VIRESCENS	0.724312195003
386598	species	KUDOA LETHRINI	0.720035856666
40176	species	HEMIGRAPSUS SANGUINEUS	0.716831561686
68455	species	CROCODYLUS SIAMENSIS	0.714523225321
267377	no rank	METHANOCOCCUS MARIPALUDIS S2	0.709846132993
309157	species	BACILLUS SP. NHTS 19	0.709666705327
561169	species	REBECCA SALINA	0.709574408212
194530	species	SAWYERIA MARYLANDENSIS	0.7093311585894
36804	species	ENTEROCYTOZOON SALMONIS	0.7084224308737
994344	species	GLOMEROMYCOTA SP. MIB 8369	0.706943496179
1002219	species	VANNELLA SP. GERL41	0.703199139066
209446	species	CANDIDATUS MYCOPLASMA HAEMOMINUTUM	0.701862034538
9601	species	PONGO ABELII	0.69530188908175
578084	species	NOCTUIDONEMA SP. RGD802	0.692318833197
1396	species	BACILLUS CEREUS	0.684612331936
315753	species	UNCULTURED LABYRINTHULID	0.6812567324508
257379	species	CYANIDIUM SP. MONTE ROTARO	0.679680077506
51511	species	CIONA SAVIGNYI	0.673689953856
404764	species	XANTHOPYGINAE ENVIRONMENTAL SAMPLE	0.672499025085
9606	species	HOMO SAPIENS	0.669431358778
573653	species	UNCULTURED EUGLENOZOAN	0.6686483811326
4754	species	PNEUMOCYSTIS CARINII	0.663431304239
61460	species	KNUFIA PERFORANS	0.660287872776
291235	species	KUDOA YASUNAGAI	0.65974895295
306672	species	SORITES SP. P27_1382X	0.6583002379638
647106	species	CHLORARACHNIOPHYCEAE SP. ISRO89 6A	0.657509272601
175245	species	UNCULTURED FUNGUS	0.6538603459354
78917	species	PIPTOCEPHALIS CORYMBIFERA	0.652881035556
391280	species	PROCERODES PLEBEJA	0.64757798123
1122927	no rank	PAENIBACILLUS TERRIGENA DSM 21567	0.6421260816955
369333	species	PAENIBACILLUS TERRIGENA	0.6421260816955
103894	species	PROTOMONOTRESIS CENTROPHORA	0.639176735913
291234	species	KUDOA NEUROPHILA	0.634906698354
39050	species	UNIDENTIFIED TRICHOMONAD 1	0.6342337204608
751907	species	KUDOA SEPTEMPUNCTATA	0.633618228012
2806	class	FLORIDEOPHYCEAE	0.6305489618937
210917	species	KUDOA OVIVORA	0.629623620408
84346	species	SPELEONECTES TULUMENSIS	0.629496876964
759958	species	STRAMENOPILE SP. ME13100	0.62628782368
423054	suborder	EIMERIORINA	0.626074465344867
5796	class	COCCIDIA	0.626074465344867
75739	order	EUCOCCIDIORIDA	0.626074465344867
27973	species	ENCEPHALITOZOON HELLEM	0.62581999440937
194924	family	DESULFOVIBRIONACEAE	0.6236246943376
244810	species	MARISTENTOR DINOFERUS	0.620469869799
96649	species	PELODERA PUNCTATA	0.6195038379927
29388	species	STAPHYLOCOCCUS CAPITIS	0.6184782646415
266817	species	SCYTALIDIUM CUBOIDEUM	0.614271772371
213117	family	DESULFOHALOBIACEAE	0.607815475286
239176	species	PERCUS POLITUS	0.600698123787
30985	suborder	PLATYCEPHALOIDEI	0.60020019178435
178231	family	PERISTEDIIDAE	0.60020019178435
990922	genus	SCALICUS	0.60020019178435
181455	species	SCALICUS AMISCUS	0.60020019178435
460191	species	ENTEROMONAS SP. GECA2	0.59720666066182
647871	species	BACILLUS SP. NBPP88	0.597152564808
